Fase Principal,Actividad/Subtarea,Prerequisito,Fecha Inicio,Fecha Fin,Duración (días),Insumos Cliente
FASE 1: DISCOVERY & PLANNING,1.1 Reunión Kickoff,Contrato firmado + Pago 30%,07/10/2025,07/10/2025,0.5,Disponibilidad cliente 2h
FASE 1: DISCOVERY & PLANNING,  - Presentación equipo y alcance MVP,Ninguno,07/10/2025,07/10/2025,0.25,N/A
FASE 1: DISCOVERY & PLANNING,  - Validación wireframes prototipo,Prototipo funcional,07/10/2025,07/10/2025,0.25,Feedback visual del formulario
FASE 1: DISCOVERY & PLANNING,  - Definición canales comunicación,Ninguno,07/10/2025,07/10/2025,0.125,WhatsApp + Email cliente
FASE 1: DISCOVERY & PLANNING,  - Solicitud formal 194 PDFs,Ninguno,07/10/2025,07/10/2025,0.125,Compromiso entrega PDFs
FASE 1: DISCOVERY & PLANNING,1.2 Setup de Proyecto,Kickoff completado,07/10/2025,07/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Configuración repositorio GitHub,Ninguno,07/10/2025,07/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,  - Estructura de carpetas proyecto,Ninguno,07/10/2025,07/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,  - Configuración tablero Kanban,Ninguno,07/10/2025,07/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,  - README.md inicial,Ninguno,07/10/2025,07/10/2025,0.125,N/A
FASE 1: DISCOVERY & PLANNING,1.3 Análisis de Requisitos MVP,Kickoff completado,07/10/2025,09/10/2025,3,Acceso a docs ENA 2025
FASE 1: DISCOVERY & PLANNING,  - Lectura docs metodológicos ENA 2025,Ninguno,07/10/2025,07/10/2025,0.5,PDF 'Planeación ENA 2025'
FASE 1: DISCOVERY & PLANNING,  - Identificación funcionalidades core,Lectura docs ENA,08/10/2025,08/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Priorización MoSCoW,Funcionalidades identificadas,08/10/2025,08/10/2025,0.5,N/A
FASE 1: DISCOVERY & PLANNING,  - Documento REQUISITOS_MVP.md (15 págs),Priorización completa,08/10/2025,09/10/2025,1.5,Validación requisitos cliente
